edad   altura  
1       60
1.3     62.5
1.6     65
1.9     67.4
2       70
2.3     73
2.6     75
2.9     77.2
3       80
3.3     82.6
3.6     84.0
3.9     87.0
4       89.0
4.3     91.0
4.6     93.3
4.9     95.6
5       98
5.3     100
5.6     102.3
5.9     104.6
6       106.5
6.3     108.2
6.6     110.1
6.9     111.6
7       113
7.3     115.2
7.6     116.6
7.9     118.0
8       120
8.3     122.4
8.6     124.5
8.9     126.1
9       127.7
9.3     128.5
9.6     130
9.9     132
10      134
10.3    135.8
10.6    137.2
10.9    138.9



